2022-04-11T13:10:37.0095791+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Start installing Hangfire SQL objects...
2022-04-11T13:10:37.3342505+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Hangfire SQL objects installed.
2022-04-11T13:10:37.4287096+07:00 [INF] (Hangfire.BackgroundJobServer) Starting Hangfire Server using job storage: 'SQL Server: 45.119.82.72@Telesys-Api'
2022-04-11T13:10:37.4302314+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2022-04-11T13:10:37.4309618+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2022-04-11T13:10:37.7682322+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:4040:eb9a5386 successfully announced in 263.1207 ms
2022-04-11T13:10:37.7739864+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:4040:eb9a5386 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2022-04-11T13:18:01.3077911+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:28124:103b9ddc successfully announced in 251.6242 ms
2022-04-11T13:18:01.3145313+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:28124:103b9ddc is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2022-04-11T13:18:01.3625154+07:00 [INF] (Hangfire.Server.ServerWatchdog) 1 servers were removed due to timeout
2022-04-11T13:18:01.4416639+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:28124:103b9ddc all the dispatchers started
2022-04-11T13:18:03.0383786+07:00 [INF] () Looop
2022-04-11T13:18:03.0383827+07:00 [INF] () Looop
2022-04-11T13:18:03.0383876+07:00 [INF] () Looop
2022-04-11T13:18:03.0383910+07:00 [INF] () Looop
2022-04-11T13:18:03.0383922+07:00 [INF] () Looop
2022-04-11T13:18:03.0398179+07:00 [INF] () 1
2022-04-11T13:18:03.0405230+07:00 [INF] () 1
2022-04-11T13:18:03.0411475+07:00 [INF] () 1
2022-04-11T13:18:03.0417609+07:00 [INF] () 1
2022-04-11T13:18:03.0424011+07:00 [INF] () 1
2022-04-11T13:18:03.1209034+07:00 [INF] () Looop
2022-04-11T13:18:03.1209035+07:00 [INF] () Looop
2022-04-11T13:18:03.1209035+07:00 [INF] () Looop
2022-04-11T13:18:03.1209306+07:00 [INF] () Looop
2022-04-11T13:18:03.1215722+07:00 [INF] () 2
2022-04-11T13:18:03.1222777+07:00 [INF] () 2
2022-04-11T13:18:03.1235966+07:00 [INF] () 2
2022-04-11T13:18:03.1229081+07:00 [INF] () 2
2022-04-11T13:18:03.1245052+07:00 [INF] () Looop
2022-04-11T13:18:03.1539434+07:00 [INF] () 2
2022-04-11T13:18:03.1565838+07:00 [INF] (Microsoft.Hosting.Lifetime) Now listening on: "https://localhost:5001"
2022-04-11T13:18:03.1683472+07:00 [INF] (Microsoft.Hosting.Lifetime) Now listening on: "http://localhost:5000"
2022-04-11T13:18:03.1719573+07:00 [INF] (Microsoft.Hosting.Lifetime) Application started. Press Ctrl+C to shut down.
2022-04-11T13:18:03.1730652+07:00 [INF] (Microsoft.Hosting.Lifetime) Hosting environment: "Development"
2022-04-11T13:18:03.1753292+07:00 [INF] (Microsoft.Hosting.Lifetime) Content root path: "F:\source\teleSYss\CallAPI\Web\XProject.WebApi"
2022-04-11T13:18:03.1982502+07:00 [INF] () Looop
2022-04-11T13:18:03.1993450+07:00 [INF] () 3
2022-04-11T13:18:03.2087764+07:00 [INF] () Looop
2022-04-11T13:18:03.2152111+07:00 [INF] () 3
2022-04-11T13:18:03.2282318+07:00 [INF] () Looop
2022-04-11T13:18:03.2293356+07:00 [INF] () 3
2022-04-11T13:18:03.2336088+07:00 [INF] () Looop
2022-04-11T13:18:03.2371000+07:00 [INF] () 3
2022-04-11T13:18:03.2352960+07:00 [INF] () Looop
2022-04-11T13:18:03.2420200+07:00 [INF] () 3
2022-04-11T13:18:03.2752848+07:00 [INF] () Looop
2022-04-11T13:18:03.2753115+07:00 [INF] () Looop
2022-04-11T13:18:03.2759947+07:00 [INF] () 4
2022-04-11T13:18:03.2767071+07:00 [INF] () 4
2022-04-11T13:18:03.2912584+07:00 [INF] () Looop
2022-04-11T13:18:03.2912474+07:00 [INF] () Looop
2022-04-11T13:18:03.2944632+07:00 [INF] () 4
2022-04-11T13:18:03.2934492+07:00 [INF] () 4
2022-04-11T13:18:03.2954850+07:00 [INF] () Looop
2022-04-11T13:18:03.2979829+07:00 [INF] () 4
2022-04-11T13:18:03.3367391+07:00 [INF] () Looop
2022-04-11T13:18:03.3367391+07:00 [INF] () Looop
2022-04-11T13:18:03.3386414+07:00 [INF] () 5
2022-04-11T13:18:03.3396636+07:00 [INF] () 5
2022-04-11T13:18:03.3512181+07:00 [INF] () Looop
